head,subV,linker,form
venir,ser,0,6
decir,ser,0,6
decir,ser,0,7
ser,ir,0,3
ir,trabajar,0,4
llevar,comer,0,2
hacer,buscar,0,3
buscar,trabajar,0,3
ser,poder,si,7
ser,poder,ya_que,7
querer,maldecir,0,3
abrochar,ir,0,3
ir,buscar,0,4
llevar,trocar,0,3
buscar,saber,0,6
buscar,habitar,0,6
decir,querer,0,7
querer,llevar,0,3
llevar,trabajar,0,3
decir,entender,0,6
decir,ser,0,7
decir,llorar,0,6
decir,querer,0,7
saber,escasear,0,7
habitar,escasear,0,7
esperar,regresar,0,3
esperar,venir,0,3
entender,hablar,0,4
decir,ser,0,6
decir,ser,0,7
destruir,levantar,0,2
haber,levantar,0,6
estar,levantar,0,6
habitar,levantar,0,6
estar_sentado,levantar,0,6
haber,vivir,0,4
estar,vivir,0,4
habitar,vivir,0,4
estar_sentado,vivir,0,4
entrar,quedar,0,6
ser,hacer,0,2
aparecer,seguir,0,6
aparecer,arrear,0,6
seguir,cerrar,0,3
arrear,cerrar,0,3
decir,querer,0,7
decir,hacer,0,3
acabar,poder,si,7
acabar,poder,ya_que,7
suceder,poder,si,7
suceder,poder,ya_que,7
convertir,poder,si,7
convertir,poder,ya_que,7
atar,ver,0,6
decir,acabar,0,6
decir,suceder,0,6
decir,convertir,0,6
decir,soplar,0,7
soplar,mandar,0,6
ser,hacer,0,3
querer,hacer,0,6
andar,ver,0,7
salir,ser,0,6
andar,caminar,0,6
ser,recostar,0,2
arder,dar,0,6
ser,desatar,0,3
%reventar,ser,chaywan,7
empezar,bajar,0,6
ser,tener_miedo,0,2
querer,tener_miedo,0,2
querer,saltar,0,6
ser,tener_miedo,0,2
salir,llegar,0,6
ser,llorar,0,6
ser,tener_miedo,0,2
empezar,ser,0,6
decir,ser,0,7
agarrar,sentar,0,6
entender,sentar,0,6
hacer,decir,0,2
ser,llegar,0,3
ser,llegar,0,3
llegar,trabajar,0,4
ser,hinchar,0,2
gobernar,curar,0,3
mandar,curar,0,3
crear,curar,0,3
decir,volver,0,7
cruzar,volver,0,6
ser,estar_enfermo,0,2
tapar,calentar,0,6
recordar,decir,0,6
pensar,decir,0,6
decir,alcanzar,0,7
poder,mirar,0,6
vencer,mirar,0,6
empezar,ver,0,6
empezar,conocer,0,6
empezar,aparecer,0,6
decir,ser,si,7
decir,ser,ya_que,7
ser,llorar,0,6
ser,querer,así_que,7
gritar,azotar,luego,7
gritar,pegar,0,7
encontrar,ir,0,3
ser,comer,0,3
ser,ser,0,7
ser,comer,0,3
dejar,pastear,0,2
aparecer,andar,0,6
ser,sentar,0,3
entrar,andar,0,6
ser,comer_vorazmente,0,3
temblar,hablar,0,2
tiritar,hablar,0,2
decir,decir,0,6
decir,ir,0,7
ir,trabajar,0,4
alegrar,ver,0,6
alegrar,conocer,0,6
alegrar,aparecer,0,6
decir,ir,0,7
ir,trabajar,0,4
ir,contar,si,7
ir,contar,ya_que,7
ir,trabajar,0,4
saber,parir,0,7
habitar,parir,0,7
pegar,sangrar,0,3
pegar,comer,0,2
decir,ser,0,7
comprar,andar,0,6
agarrar,ser,0,6
entender,ser,0,6
agarrar,reír,0,6
entender,reír,0,6
atar,decir,0,6
decir,entrar,0,7
llorar,saber,0,6
llorar,habitar,0,6
perder,entrar,0,6
decir,ser,0,7
andar,llorar,0,6
andar,seguir,0,6
andar,arrear,0,6
dar,comer,0,3
ser,comer,0,3
dormir,andar,0,2
ver,echar,0,2
conocer,echar,0,2
aparecer,echar,0,2
empezar,preguntar,0,6
llevar,andar,0,6
andar,llorar,0,6
ser,decir,0,6
ser,pastear,0,6
decir,poder,0,7
decir,vencer,0,7
dormir,pastear,0,2
dar,colgar,0,6
golpear,gotear,0,3
hacer,ser,0,2
decir,ser,0,7
comprar,recordar,0,6
comprar,pensar,0,6
ir,hablar,0,4
dar,volver,0,2
empezar,hablar,0,7
decir,pegar,0,7
pegar,hablar,si,7
pegar,hablar,ya_que,7
hablar,mentir,0,6
hablar,decir,0,6
hablar,pegar,0,3
dormir,jugar,0,2
ir,pastear,0,4
haber,pastear,0,6
estar,pastear,0,6
habitar,pastear,0,6
estar_sentado,pastear,0,6
poder,comer,0,3
vencer,comer,0,3
mirar,ir,0,6
volver,tener_miedo,0,6
tener_miedo,pegar,0,3
ocultar,acortar,0,6
ir,ser,0,7
ir,encontrar,0,3
encontrar,andar,0,2
acercar,temblar,0,6
acercar,tiritar,0,6
decir,ser,0,7
decir,ser,0,7
preguntar,ir,0,7
decir,querer,0,7
dar,sacar,0,6
decir,decir,0,6
decir,buscar,si,7
decir,buscar,ya_que,7
ir,ser,0,7
decir,ser,0,7
decir,ser,0,7
decir,recordar,0,6
decir,pensar,0,6
decir,ser,0,7
decir,ser,0,7
curar,hacer_algo,0,6
curar,buscar,0,6
decir,ir,0,7
ser,decir,0,6
decir,llegar,0,7
llegar,andar,0,6
ir,llevar,0,2
ir,arar,0,4
dar,comer,0,3
ser,venir,0,6
decir,dejar,0,7
dejar,ser,0,4
salir,buscar,0,4
andar,preguntar,0,6
ser,ser,0,7
encontrar,andar,0,2
andar,buscar,0,6
decir,andar,0,7
andar,buscar,0,6
%decir,volver,chay,7
decir,decir,0,6
decir,pastear,0,7
hacer,hacer,0,6
hacer,comer,0,3
hacer,patear,0,3
comer,dormir,0,3
decir,acabar,0,7
decir,suceder,0,7
decir,convertir,0,7
ser,poner,0,2
decir,desvestir,0,6
decir,dar,0,6
decir,ir,0,7
andar,llorar,0,6
ir,decir,0,6
perder,ser,0,7
expulsar,decir,0,6
despedir,decir,0,6
desalojar,decir,0,6
aparecer,andar,0,6
andar,llorar,0,6
ser,mirar,0,3
ser,adelantar,0,4
perder,contar,0,6
ser,ir,0,3
ir,recoger,0,4
ser,ser,si,7
ser,ser,ya_que,7
ser,pegar,0,3
pegar,querer,0,6
quitar,recoger,0,2
volver,decir,0,6
decir,quitar,0,7
decir,ir,0,7
andar,llevar,0,2
llevar,trocar,0,3
ser,ser,0,6
ser,saber,0,2
ser,habitar,0,2
ser,trocar,0,3
ser,volver,0,2
ser,ser,0,3
dividir,comer,0,6
separar,comer,0,6
distribuir,comer,0,6
ser,llevar,0,3
llevar,derramar,0,3
salir,ser,0,4
querer,llevar,0,3
salir,llevar,0,6
ser,estar_enfermo,0,2
ser,ser,0,3
hacer,quitar,0,3
ir,llevar,0,6
comer,hacer,0,6
comer,ser,0,6
decir,ser,0,7
decir,ser,pero,7
decir,llevar,0,7
perder,ser,0,6
ser,llenar,0,3
madurar,ir,0,3
conocer,ser,si,7
conocer,ser,ya_que,7
conocer,llegar,0,6
querer,conocer,0,3
haber,decir,0,6
estar,decir,0,6
habitar,decir,0,6
estar_sentado,decir,0,6
decir,conocer,0,7
decir,haber,0,7
decir,estar,0,7
decir,habitar,0,7
decir,estar_sentado,0,7
haber,mover,0,6
estar,mover,0,6
habitar,mover,0,6
estar_sentado,mover,0,6
haber,ser,0,4
estar,ser,0,4
habitar,ser,0,4
estar_sentado,ser,0,4
volver,comer,0,2
preguntar,haber,0,7
preguntar,estar,0,7
preguntar,habitar,0,7
preguntar,estar_sentado,0,7
esperar,venir,0,3
venir,conocer,0,4
ser,saber,0,2
ser,habitar,0,2
saber,ser,0,6
habitar,ser,0,6
saber,urdir,0,7
habitar,urdir,0,7
ser,llegar,0,6
andar,escarbar,0,6
juntar,trabajar,0,6
decir,acabar,0,6
decir,suceder,0,6
decir,convertir,0,6
decir,ayudar,0,7
ser,ir,0,3
juntar,andar,0,6
recordar,ser,0,6
pensar,ser,0,6
decir,ser,0,6
decir,ir,0,3
ser,olvidar,0,2
ir,venir,0,6
ir,trabajar,0,4
ser,trabajar,0,6
olvidar,olvidar,si,7
ir,aporcar,0,4
ir,sembrar,0,4
ser,ayudar,0,6
ser,trabajar,0,3
venir,trabajar,0,4
ser,contar,0,3
contar,hacer,0,7
decir,hacer,0,3
venir,ayudar,0,4
ser,ayudar,0,2
olvidar,venir,0,6
decir,hacer,0,7
hacer,hacer_algo,0,6
ser,hacer,si,7
ser,trabajar,0,3
ayudar,morir,0,7
pedir,transportar,0,3
ser,volver,0,3
ser,ser,si,7
ser,pedir,0,3
poder,ser,0,6
vencer,ser,0,6
ser,llevar,0,3
hacer,ser,0,7
ser,llevar,0,3
ser,ser,0,6
ser,ser,0,3
ser,defecar,0,3
ser,defecar,0,3
ir,ayudar,0,4
poder,ayudar,0,6
vencer,ayudar,0,6
ser,ser,0,6
ser,trabajar,0,3
contar,granizar,0,3
decir,decir,0,6
ser,empezar,0,3
ser,ser,0,3
poner,hacer,si,7
ser,decir,0,6
entrar,venir,0,6
entrar,abrir,0,6
comer,ser,0,4
ser,ayudar,0,6
ayudar,ser,0,6
%ayudar,hacer,kay,7
ser,hacer,0,3
venir,robar,0,4
ir,pastear,0,4
ser,hacer,0,3
sufrir,ser,si,7
venir,ser,0,6
venir,ayudar,0,4
venir,venir,porque,7
ser,ser,0,3
ser,venir,0,7
venir,ayudar,0,4
ser,dar,0,3
dar,venir,0,4
venir,ayudar,0,4
ser,ayudar,0,2
ser,ser,si,7
ser,ser,ya_que,7
ser,mirar,0,6
ser,ser,0,3
ser,granizar,0,3
ser,ser,0,3
rociar,ser,0,7
hondear,injuriar,0,6
desvestir,querer,0,6
hondear,rociar,0,6
andar,hacer,0,6
llegar,arder,0,6
rociar,injuriar,0,6
robar,entrar,0,6
escarbar,ser,0,6
ser,ser,pero,7
ser,injuriar,0,2
decir,ser,0,7
granizar,ser,0,3
ser,ser,0,6
ser,emborrachar,0,3
ser,ser,0,3
ser,hondear,0,6
entrar,robar,0,4
ser,haber,0,6
ser,estar,0,6
ser,habitar,0,6
ser,estar_sentado,0,6
ser,abortar,0,2
alcanzar,andar,0,6
decir,ser,0,7
ver,andar,0,2
conocer,andar,0,2
aparecer,andar,0,2
salir,pedir,0,6
entrar,hurgar,0,6
entrar,ser,0,7
ser,mover,0,6
ser,parecer,0,6
ser,amontonar,0,2
acabar,llegar,0,6
suceder,llegar,0,6
convertir,llegar,0,6
vivir,comer,0,7
%ancora
informar,subir,0,7
informar,equivaler,0,7
creer,agilizar,que,3
subrayar,comenzar,que,2
instar,ir,ya_que,7
afirmar,ser,que,7
indicar,proyectar,que,7
decir,tener_en_cuenta,que,7
dictaminar,incurrir,que,2
asegurar,disminuir,que,2
considerar,convertir,que,2
considerar,ser,que,2
anunciar,apelar,que,3
señalar,cerrar,que,7
asegurar,ser,que,3
normalizar,caer,0,7
normalizar,perder,0,7
considerar,resultar,pues,7
resultar,suponer,ya_que,7
señalar,protestar,0,7
señalar,preparar,0,7
señalar,superar,0,7
calificar,reducir,pues,7
considerar,suponer,que,2
suponer,dar,ya_que,7
proponer,afectar,que,7
confirmar,ser,que,2
decir,hacer,que,7
hacer,ingresar,que,3
añadir,permitir,que,3
haber,abrir,que,2
abrir,ser,como,3
hacer,invertir,que,3
explicar,suponer,que,2
explicar,incrementar,que,2
explicar,permitir,que,3
decir,escuchar,que,7
decir,ser,que,2
afirmar,seguir,que,7
afirmar,incentivar,que,2
decir,estar,que,7
poner,centrar,que,2
decir,acudir,que,3
tener_en_cuenta,ser,que,2
añadir,ser,que,2
destacar,tener,que,2
señalar,introducir,que,7
anunciar,despedir,que,3
señalar,ser,que,7
tener,despedir,0,2
tener,trasladar,0,2
anunciar,llegar,que,2
suponer,recibir,que,3
señalar,estar,que,7
decir,estar,que,7
indicar,ser,que,7
comprobar,hacer,que,2
confirmar,asistir,que,3
ser,hacer,puesto_que,7
decir,estar,que,7
expresar,estar,que,7
afirmar,tener,que,7
saber,ser,0,7
saber,querer,si,6
saber,reanudar,0,7
convertir,marcar,pues,7
nombrar,remediar,si,6
prohibir,investigar,mientras,2
considerar,tener,que,3
negar,haber,que,3
negar,estar,que,3
añadir,desconocer,que,2
desarrollar,decir,aunque,6
decir,ser,que,7
temer,incidir,que,3
temer,admitir,aunque,6
admitir,ser,que,7
exigir,profundizar,que,3
sentir,haber,aunque,6
asegurar,vencer,que,3
vencer,lograr,si,6
reiterar,hacer,que,3
ganar,ocultar,aunque,6
ganar,declarar,0,6
comentar,representar,que,2
solicitar,viajar,cuando,6
agregar,ser,que,2
asegurar,facilitar,que,2
afirmar,recibir,que,7
ser,dedicar,porque,6
sostener,mantener,que,7
comentar,ser,0,7
comentar,ser,0,7
reconocer,afectar,que,2
decir,evidenciar,que,7
recordar,terminar,que,2
desear,corresponder,si,6
decir,llevar,que,7
manifestar,ser,que,7
sufrir,ceder,porque,6
sufrir,disolver,0,6
formar,elegir,0,2
encabezar,definir,como,2
originar,entrar,cuando,6
indicar,quejar,que,7
decir,abrir,que,7
aumentar,crecer,aunque,6
manifestar,querer,que,7
dar,celebrar,0,7
dar,suceder,0,7
dar,preparar,0,7
dar,llegar,cuando,6
estar,acudir,aunque,6
ser,celebrar,puesto_que,7
plantear,ser,0,7
agregar,mantener,que,2
agregar,presentar,que,2
considerar,afectar,que,2
afectar,entrar,porque,6
venir,salir,porque,6
calcular,perder,que,2
afrontar,entrar,si,6
asegurar,prevalecer,que,2
afirmar,quedar,que,7
quedar,considerar,que,2
continuar,haber,porque,6
afirmar,coincidir,que,7
asegurar,ser,que,2
afirmar,apreciar,que,7
apreciar,aceptar,que,2
decir,aceptar,que,7
